date,cass_shipments,cass_expenditures,tsi_freight,pcu484484,wpu057303,ces4348400001
2000-01-01,1.134,1.481,105.3,,76.1,1408.1
2000-02-01,1.112,1.408,104.4,,86.1,1406.6
2000-03-01,1.142,1.405,99.2,,90.0,1408.9
2000-04-01,1.102,1.443,98.0,,84.1,1407.7
2000-05-01,1.103,1.45,98.6,,82.8,1406.1
2000-06-01,1.141,1.472,99.6,,85.7,1403.8
2000-07-01,1.052,1.423,97.5,,89.5,1403.6
2000-08-01,1.157,1.459,99.5,,92.1,1408.0
2000-09-01,1.183,1.517,99.6,,110.8,1404.9
2000-10-01,1.16,1.487,99.5,,110.0,1404.0
2000-11-01,1.101,1.426,99.8,,110.4,1404.8
2000-12-01,0.948,1.308,98.9,,101.6,1406.2
2001-01-01,1.069,1.362,99.5,,96.7,1407.1
2001-02-01,1.02,1.275,99.9,,92.4,1407.6
2001-03-01,1.049,1.274,99.1,,83.5,1408.7
2001-04-01,0.994,1.231,98.1,,86.4,1400.1
2001-05-01,1.075,1.278,99.3,,93.1,1396.4
2001-06-01,1.022,1.234,98.5,,90.2,1390.9
2001-07-01,1.045,1.227,97.6,,81.6,1389.2
2001-08-01,0.991,1.195,99.3,,82.0,1375.6
2001-09-01,0.999,1.215,98.1,,91.6,1376.7
2001-10-01,1.057,1.25,98.8,,75.9,1369.9
2001-11-01,0.979,1.183,98.0,,71.3,1363.9
2001-12-01,0.966,1.167,97.7,,56.2,1357.0
2002-01-01,0.937,1.121,98.8,,58.9,1350.0
2002-02-01,0.935,1.16,100.3,,60.0,1348.1
2002-03-01,0.946,1.201,98.8,,69.7,1345.2
2002-04-01,0.978,1.21,99.8,,76.9,1345.3
2002-05-01,0.967,1.17,100.9,,74.7,1343.0
2002-06-01,0.989,1.2,101.5,,73.3,1339.5
2002-07-01,1.062,1.303,102.7,,77.6,1335.0
2002-08-01,1.032,1.251,102.5,,80.4,1328.6
2002-09-01,1.049,1.291,103.0,,92.3,1331.8
2002-10-01,0.999,1.297,104.4,,98.7,1338.4
2002-11-01,0.943,1.235,104.7,,85.5,1334.6
2002-12-01,0.898,1.2,105.0,,86.8,1333.2
2003-01-01,0.94,1.207,104.1,,97.6,1329.1
2003-02-01,0.948,1.205,103.6,,123.8,1326.2
2003-03-01,1.035,1.285,103.6,,129.4,1330.8
2003-04-01,0.966,1.257,103.9,,102.3,1318.9
2003-05-01,0.989,1.249,102.9,,87.9,1320.1
2003-06-01,1.016,1.306,102.8,,89.8,1320.9
2003-07-01,1.062,1.364,104.1,,92.7,1320.6
2003-08-01,1.06,1.354,103.7,,96.6,1325.3
2003-09-01,1.086,1.425,104.9,,91.1,1325.2
2003-10-01,1.088,1.389,106.6,,101.1,1328.6
2003-11-01,1.072,1.386,106.2,,95.9,1331.3
2003-12-01,1.029,1.376,108.7,100.0,98.1,1335.4
2004-01-01,1.019,1.302,107.8,100.4,109.3,1339.0
2004-02-01,1.131,1.375,108.6,101.1,103.7,1338.6
2004-03-01,1.169,1.43,110.2,101.3,109.7,1340.0
2004-04-01,1.142,1.432,110.6,101.6,119.9,1343.9
2004-05-01,1.193,1.506,110.3,102.3,121.0,1346.2
2004-06-01,1.249,1.616,110.9,103.0,114.2,1352.0
2004-07-01,1.175,1.503,111.1,103.4,123.0,1355.3
2004-08-01,1.292,1.592,110.1,103.7,135.1,1358.1
2004-09-01,1.316,1.685,110.6,104.5,140.9,1363.4
2004-10-01,1.298,1.671,111.3,105.0,166.6,1361.3
2004-11-01,1.292,1.631,112.1,105.6,159.7,1359.8
2004-12-01,1.232,1.649,111.7,105.5,135.3,1368.8
2005-01-01,1.229,1.535,114.0,106.0,141.1,1374.4
2005-02-01,1.321,1.599,113.1,106.1,149.5,1381.4
2005-03-01,1.303,1.629,112.3,106.9,173.3,1386.4
2005-04-01,1.228,1.651,113.0,107.6,175.4,1392.6
2005-05-01,1.219,1.706,112.3,108.1,170.8,1395.7
2005-06-01,1.233,1.774,111.7,108.7,187.2,1399.5
2005-07-01,1.244,1.686,111.8,109.1,189.8,1402.1
2005-08-01,1.244,1.747,112.5,109.4,200.6,1401.7
2005-09-01,1.277,1.848,111.5,110.7,212.6,1403.8
2005-10-01,1.257,1.883,111.1,112.1,264.1,1410.1
2005-11-01,1.237,1.916,113.7,111.9,206.2,1413.2
2005-12-01,1.256,1.94,112.5,111.2,198.5,1414.6
2006-01-01,1.286,1.926,112.5,111.3,197.1,1417.6
2006-02-01,1.254,1.964,111.5,111.2,196.2,1421.6
2006-03-01,1.28,1.962,112.0,111.7,206.5,1423.6
2006-04-01,1.288,1.977,111.3,112.3,230.4,1432.4
2006-05-01,1.329,2.034,113.6,113.5,239.6,1430.3
2006-06-01,1.347,2.187,113.1,113.8,246.9,1434.1
2006-07-01,1.289,2.053,111.9,114.0,237.5,1443.1
2006-08-01,1.345,2.1,109.5,114.7,250.2,1442.7
2006-09-01,1.312,2.114,112.9,114.6,201.3,1443.8
2006-10-01,1.24,2.002,110.8,113.8,197.5,1445.7
2006-11-01,1.208,1.906,108.5,113.5,197.2,1446.5
2006-12-01,1.161,1.833,110.6,113.5,203.0,1452.1
2007-01-01,1.171,1.812,109.8,113.8,180.9,1453.7
2007-02-01,1.196,1.828,110.5,113.5,193.5,1452.4
2007-03-01,1.258,1.95,111.8,114.0,220.2,1451.5
2007-04-01,1.259,1.931,110.3,115.0,238.0,1447.9
