date,cass_shipments,cass_expenditures,tsi_freight,pcu484484,wpu057303,ces4348400001,month,month_sin,month_cos,t,cass_shipments_lag1,cass_shipments_lag2,cass_shipments_lag3,cass_shipments_lag6,cass_shipments_lag12,cass_expenditures_lag1,cass_expenditures_lag2,cass_expenditures_lag3,cass_expenditures_lag6,cass_expenditures_lag12,tsi_freight_lag1,tsi_freight_lag2,tsi_freight_lag3,tsi_freight_lag6,tsi_freight_lag12,pcu484484_lag1,pcu484484_lag2,pcu484484_lag3,pcu484484_lag6,pcu484484_lag12,wpu057303_lag1,wpu057303_lag2,wpu057303_lag3,wpu057303_lag6,wpu057303_lag12,ces4348400001_lag1,ces4348400001_lag2,ces4348400001_lag3,ces4348400001_lag6,ces4348400001_lag12,month_cos_lag1,month_cos_lag2,month_cos_lag3,month_cos_lag6,month_cos_lag12,cass_expenditures_rollmean3,cass_expenditures_rollstd3,cass_expenditures_rollmean6,cass_expenditures_rollstd6,cass_expenditures_rollmean12,cass_expenditures_rollstd12,y_next
2000-01-01,1.134,1.481,105.3,,76.1,1408.1,1,0.49999999999999994,0.49999999999999994,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.408
2000-02-01,1.112,1.408,104.4,,86.1,1406.6,2,0.8660254037844386,0.8660254037844386,1,1.134,,,,,1.481,,,,,105.3,,,,,,,,,,76.1,,,,,1408.1,,,,,0.49999999999999994,,,,,,,,,,,1.405
2000-03-01,1.142,1.405,99.2,,90.0,1408.9,3,1.0,1.0,2,1.112,1.134,,,,1.408,1.481,,,,104.4,105.3,,,,,,,,,86.1,76.1,,,,1406.6,1408.1,,,,0.8660254037844386,0.49999999999999994,,,,,,,,,,1.443
2000-04-01,1.102,1.443,98.0,,84.1,1407.7,4,0.8660254037844387,0.8660254037844387,3,1.142,1.112,1.134,,,1.405,1.408,1.481,,,99.2,104.4,105.3,,,,,,,,90.0,86.1,76.1,,,1408.9,1406.6,1408.1,,,1.0,0.8660254037844386,0.49999999999999994,,,1.4313333333333336,0.043038742236888666,,,,,1.45
2000-05-01,1.103,1.45,98.6,,82.8,1406.1,5,0.49999999999999994,0.49999999999999994,4,1.102,1.142,1.112,,,1.443,1.405,1.408,,,98.0,99.2,104.4,,,,,,,,84.1,90.0,86.1,,,1407.7,1408.9,1406.6,,,0.8660254037844387,1.0,0.8660254037844386,,,1.4186666666666667,0.021126602503321306,,,,,1.472
2000-06-01,1.141,1.472,99.6,,85.7,1403.8,6,1.2246467991473532e-16,1.2246467991473532e-16,5,1.103,1.102,1.142,,,1.45,1.443,1.405,,,98.6,98.0,99.2,,,,,,,,82.8,84.1,90.0,,,1406.1,1407.7,1408.9,,,0.49999999999999994,0.8660254037844387,1.0,,,1.4326666666666668,0.02421432083155222,,,,,1.423
2000-07-01,1.052,1.423,97.5,,89.5,1403.6,7,-0.4999999999999998,-0.4999999999999998,6,1.141,1.103,1.102,1.134,,1.472,1.45,1.443,1.481,,99.6,98.6,98.0,105.3,,,,,,,85.7,82.8,84.1,76.1,,1403.8,1406.1,1407.7,1408.1,,1.2246467991473532e-16,0.49999999999999994,0.8660254037844387,0.49999999999999994,,1.455,0.015132745950422148,1.4431666666666667,0.03163173511944405,,,1.459
2000-08-01,1.157,1.459,99.5,,92.1,1408.0,8,-0.8660254037844384,-0.8660254037844384,7,1.052,1.141,1.103,1.112,,1.423,1.472,1.45,1.408,,97.5,99.6,98.6,104.4,,,,,,,89.5,85.7,82.8,86.1,,1403.6,1403.8,1406.1,1406.6,,-0.4999999999999998,1.2246467991473532e-16,0.49999999999999994,0.8660254037844386,,1.4483333333333333,0.02454248017893362,1.4335000000000002,0.02614383292480279,,,1.517
2000-09-01,1.183,1.517,99.6,,110.8,1404.9,9,-1.0,-1.0,8,1.157,1.052,1.141,1.142,,1.459,1.423,1.472,1.405,,99.5,97.5,99.6,99.2,,,,,,,92.1,89.5,85.7,90.0,,1408.0,1403.6,1403.8,1408.9,,-0.8660254037844384,-0.4999999999999998,1.2246467991473532e-16,1.0,,1.4513333333333334,0.025383721817994934,1.442,0.02442949037536396,,,1.487
2000-10-01,1.16,1.487,99.5,,110.0,1404.0,10,-0.8660254037844386,-0.8660254037844386,9,1.183,1.157,1.052,1.102,,1.517,1.459,1.423,1.443,,99.6,99.5,97.5,98.0,,,,,,,110.8,92.1,89.5,84.1,,1404.9,1408.0,1403.6,1407.7,,-1.0,-0.8660254037844384,-0.4999999999999998,0.8660254037844387,,1.4663333333333333,0.047427137098219926,1.4606666666666668,0.0320915357480233,,,1.426
2000-11-01,1.101,1.426,99.8,,110.4,1404.8,11,-0.5000000000000004,-0.5000000000000004,10,1.16,1.183,1.157,1.103,,1.487,1.517,1.459,1.45,,99.5,99.6,99.5,98.6,,,,,,,110.0,110.8,92.1,82.8,,1404.0,1404.9,1408.0,1406.1,,-0.8660254037844386,-1.0,-0.8660254037844384,0.49999999999999994,,1.4876666666666667,0.02900574655707647,1.468,0.03227382840631073,,,1.308
2000-12-01,0.948,1.308,98.9,,101.6,1406.2,12,-2.4492935982947064e-16,-2.4492935982947064e-16,11,1.101,1.16,1.183,1.141,,1.426,1.487,1.517,1.472,,99.8,99.5,99.6,99.6,,,,,,,110.4,110.0,110.8,85.7,,1404.8,1404.0,1404.9,1403.8,,-0.5000000000000004,-0.8660254037844386,-1.0,1.2246467991473532e-16,,1.4766666666666666,0.04637168676394418,1.4639999999999997,0.036199447509595944,,,1.362
2001-01-01,1.069,1.362,99.5,,96.7,1407.1,1,0.49999999999999994,0.49999999999999994,12,0.948,1.101,1.16,1.052,1.134,1.308,1.426,1.487,1.423,1.481,98.9,99.8,99.5,97.5,105.3,,,,,,101.6,110.4,110.0,89.5,76.1,1406.2,1404.8,1404.0,1403.6,1408.1,-2.4492935982947064e-16,-0.5000000000000004,-0.8660254037844386,-0.4999999999999998,0.49999999999999994,1.407,0.09100000000000008,1.4366666666666668,0.07258282625157733,1.4399166666666667,0.053488245664280495,1.275
2001-02-01,1.02,1.275,99.9,,92.4,1407.6,2,0.8660254037844386,0.8660254037844386,13,1.069,0.948,1.101,1.157,1.112,1.362,1.308,1.426,1.459,1.408,99.5,98.9,99.8,99.5,104.4,,,,,,96.7,101.6,110.4,92.1,86.1,1407.1,1406.2,1404.8,1408.0,1406.6,0.49999999999999994,-2.4492935982947064e-16,-0.5000000000000004,-0.8660254037844384,0.8660254037844386,1.3653333333333333,0.05907057925340955,1.4265,0.07887902129210272,1.43,0.056144294618258504,1.274
2001-03-01,1.049,1.274,99.1,,83.5,1408.7,3,1.0,1.0,14,1.02,1.069,0.948,1.183,1.142,1.275,1.362,1.308,1.517,1.405,99.9,99.5,98.9,99.6,99.2,,,,,,92.4,96.7,101.6,110.8,90.0,1407.6,1407.1,1406.2,1404.9,1408.9,0.8660254037844386,0.49999999999999994,-2.4492935982947064e-16,-1.0,1.0,1.3150000000000002,0.0439203825119956,1.3958333333333333,0.09732711167329829,1.4189166666666668,0.07182106342512024,1.231
2001-04-01,0.994,1.231,98.1,,86.4,1400.1,4,0.8660254037844387,0.8660254037844387,15,1.049,1.02,1.069,1.16,1.102,1.274,1.275,1.362,1.487,1.443,99.1,99.9,99.5,99.5,98.0,,,,,,83.5,92.4,96.7,110.0,84.1,1408.7,1407.6,1407.1,1404.0,1407.7,1.0,0.8660254037844386,0.49999999999999994,-0.8660254037844386,0.8660254037844387,1.3036666666666668,0.050520622851795254,1.3553333333333333,0.08681397736923872,1.4080000000000001,0.08318544453098856,1.278
2001-05-01,1.075,1.278,99.3,,93.1,1396.4,5,0.49999999999999994,0.49999999999999994,16,0.994,1.049,1.02,1.101,1.103,1.231,1.274,1.275,1.426,1.45,98.1,99.1,99.9,99.8,98.6,,,,,,86.4,83.5,92.4,110.4,82.8,1400.1,1408.7,1407.6,1404.8,1406.1,0.8660254037844387,1.0,0.8660254037844386,-0.5000000000000004,0.49999999999999994,1.26,0.025119713374160357,1.3126666666666666,0.07054549359574076,1.3903333333333334,0.09651974205342961,1.234
2001-06-01,1.022,1.234,98.5,,90.2,1390.9,6,1.2246467991473532e-16,1.2246467991473532e-16,17,1.075,0.994,1.049,0.948,1.141,1.278,1.231,1.274,1.308,1.472,99.3,98.1,99.1,98.9,99.6,,,,,,93.1,86.4,83.5,101.6,85.7,1396.4,1400.1,1408.7,1406.2,1403.8,0.49999999999999994,0.8660254037844387,1.0,-2.4492935982947064e-16,1.2246467991473532e-16,1.261,0.026057628441590232,1.288,0.04379497688091695,1.3760000000000001,0.0995763754384268,1.227
2001-07-01,1.045,1.227,97.6,,81.6,1389.2,7,-0.4999999999999998,-0.4999999999999998,18,1.022,1.075,0.994,1.069,1.052,1.234,1.278,1.231,1.362,1.423,98.5,99.3,98.1,99.5,97.5,,,,,,90.2,93.1,86.4,96.7,89.5,1390.9,1396.4,1400.1,1407.1,1403.6,1.2246467991473532e-16,0.49999999999999994,0.8660254037844387,0.49999999999999994,-0.4999999999999998,1.2476666666666667,0.026312227829153857,1.2756666666666667,0.047314550263811275,1.3561666666666667,0.10237971508363383,1.195
2001-08-01,0.991,1.195,99.3,,82.0,1375.6,8,-0.8660254037844384,-0.8660254037844384,19,1.045,1.022,1.075,1.02,1.157,1.227,1.234,1.278,1.275,1.459,97.6,98.5,99.3,99.9,99.5,,,,,,81.6,90.2,93.1,92.4,92.1,1389.2,1390.9,1396.4,1407.6,1408.0,-0.4999999999999998,1.2246467991473532e-16,0.49999999999999994,0.8660254037844386,-0.8660254037844384,1.2463333333333333,0.02764657905299135,1.2531666666666668,0.0247823862181739,1.3398333333333332,0.10630730183878431,1.215
2001-09-01,0.999,1.215,98.1,,91.6,1376.7,9,-1.0,-1.0,20,0.991,1.045,1.022,1.049,1.183,1.195,1.227,1.234,1.274,1.517,99.3,97.6,98.5,99.1,99.6,,,,,,82.0,81.6,90.2,83.5,110.8,1375.6,1389.2,1390.9,1408.7,1404.9,-0.8660254037844384,-0.4999999999999998,1.2246467991473532e-16,1.0,-1.0,1.2186666666666668,0.020792626898333274,1.2398333333333333,0.03133953839268767,1.3178333333333334,0.10672039366607673,1.25
2001-10-01,1.057,1.25,98.8,,75.9,1369.9,10,-0.8660254037844386,-0.8660254037844386,21,0.999,0.991,1.045,0.994,1.16,1.215,1.195,1.227,1.231,1.487,98.1,99.3,97.6,98.1,99.5,,,,,,91.6,82.0,81.6,86.4,110.0,1376.7,1375.6,1389.2,1400.1,1404.0,-1.0,-0.8660254037844384,-0.4999999999999998,0.8660254037844387,-0.8660254037844386,1.2123333333333335,0.01616580753730821,1.23,0.027495454169736536,1.2926666666666666,0.08974137926015575,1.183
2001-11-01,0.979,1.183,98.0,,71.3,1363.9,11,-0.5000000000000004,-0.5000000000000004,22,1.057,0.999,0.991,1.075,1.101,1.25,1.215,1.195,1.278,1.426,98.8,98.1,99.3,99.3,99.8,,,,,,75.9,91.6,82.0,93.1,110.4,1369.9,1376.7,1375.6,1396.4,1404.8,-0.8660254037844386,-1.0,-0.8660254037844384,0.49999999999999994,-0.5000000000000004,1.22,0.027838821814149334,1.2331666666666667,0.028701335625136805,1.2729166666666667,0.06603230384830676,1.167
2001-12-01,0.966,1.167,97.7,,56.2,1357.0,12,-2.4492935982947064e-16,-2.4492935982947064e-16,23,0.979,1.057,0.999,1.022,0.948,1.183,1.25,1.215,1.234,1.308,98.0,98.8,98.1,98.5,98.9,,,,,,71.3,75.9,91.6,90.2,101.6,1363.9,1369.9,1376.7,1390.9,1406.2,-0.5000000000000004,-0.8660254037844386,-1.0,1.2246467991473532e-16,-2.4492935982947064e-16,1.216,0.03351119216023143,1.2173333333333334,0.024985329028587105,1.2526666666666666,0.05017484580459727,1.121
2002-01-01,0.937,1.121,98.8,,58.9,1350.0,1,0.49999999999999994,0.49999999999999994,24,0.966,0.979,1.057,1.045,1.069,1.167,1.183,1.25,1.227,1.362,97.7,98.0,98.8,97.6,99.5,,,,,,56.2,71.3,75.9,81.6,96.7,1357.0,1363.9,1369.9,1389.2,1407.1,-2.4492935982947064e-16,-0.5000000000000004,-0.8660254037844386,-0.4999999999999998,0.49999999999999994,1.2,0.04403407771260745,1.2061666666666668,0.030426413963310996,1.2409166666666667,0.052494949251996256,1.16
